"","Year","State","ViolentCrime","Murderandnonnegligentmanslaughter","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"251",2003,"SOUTH DAKOTA",173.4,1.3,13.6,112.1,2001.7,375.9,1511.4,114.4
"252",2003,"TENNESSEE",687.8,6.8,160.4,484.9,4379.4,1082,2845.3,452.1
"253",2003,"TEXAS",552.5,6.4,167.4,342.5,4595.3,993.7,3157.7,444
"254",2003,"UTAH",248.6,2.5,53.4,154.8,4225.5,713.1,3182.2,330.2
"255",2003,"VERMONT",110.2,2.3,9.7,78.7,2200.1,477.8,1618,104.3
"256",2003,"VIRGINIA",275.8,5.6,90.3,155.9,2704.1,391.5,2070,242.5
"257",2003,"WASHINGTON",347,3,93.3,204,4754.9,950.3,3142.1,662.5
"258",2003,"WEST VIRGINIA",257.5,3.5,40.3,197.3,2359.4,562.2,1602.6,194.7
"259",2003,"WISCONSIN",221,3.3,80.1,115.7,2882.6,485.4,2172.1,225.1
"260",2003,"WYOMING",262.1,2.8,16.8,215.5,3321.3,520.9,2641.2,159.2
"261",2004,"ALABAMA",426.6,5.6,133.4,249.1,4025,986,2729.5,309.6
"262",2004,"ALASKA",634.5,5.6,68.2,475.6,3382.8,575.6,2465.4,341.8
"263",2004,"ARIZONA",504.1,7.2,134.4,329.4,5340.5,990.4,3387.2,962.9
"264",2004,"ARKANSAS",499.1,6.4,86.2,364.1,4013,1093.5,2683.8,235.8
"265",2004,"CALIFORNIA",551.8,6.7,172.1,346.3,3419,685.1,2030.1,703.8
"266",2004,"COLORADO",373.5,4.4,81.5,245.1,3919.3,717.3,2679,522.9
"267",2004,"CONNECTICUT",286.3,2.6,120.5,142.6,2627.2,444.4,1868.1,314.7
"268",2004,"DELAWARE",568.4,2,146.7,378.1,3163.9,648.3,2257.1,258.6
"269",2004,"DISTRICT OF COLUMBIA",1371.2,35.8,578.5,716.9,4859.1,712.9,2627.2,1519
"270",2004,"FLORIDA",711.3,5.4,172.4,495.5,4179.7,956.1,2773.3,450.2
"271",2004,"GEORGIA",455.5,6.9,154.7,266.8,4265.9,940,2825,501
"272",2004,"HAWAII",254.4,2.6,74.8,150.7,4792.8,857.4,3252.8,682.6
"273",2004,"IDAHO",244.9,2.2,17.2,184.6,2794.4,547.3,2051.5,195.5
"274",2004,"ILLINOIS",542.9,6.1,177.2,326.4,3186.1,597.3,2271.3,317.4
"275",2004,"INDIANA",325.4,5.1,102.2,189.2,3397.6,676,2383.5,338.1
"276",2004,"IOWA",270.9,1.6,38,204.5,2905.3,615.1,2107.3,182.9
"277",2004,"KANSAS",374.5,4.5,66.3,263.4,3973.5,731.1,2934,308.4
"278",2004,"KENTUCKY",244.9,5.7,78.8,130.5,2537.7,624.8,1701.3,211.6
"279",2004,"LOUISIANA",638.7,12.7,145.4,444.9,4410.2,1004.5,2969.2,436.6
"280",2004,"MAINE",103.5,1.4,21.9,56.3,2409.6,481.4,1829.3,98.9
"281",2004,"MARYLAND",700.5,9.4,229.6,437.8,3640.2,660,2335.1,645.2
"282",2004,"MASSACHUSETTS",458.8,2.6,116.4,311.7,2459.7,537.2,1578.8,343.7
